,top,bottom,left,right
0,2085,2185,2773,2873
1,2077,2177,3645,3745
2,2021,2121,3053,3153
3,1909,2009,3437,3537
4,1829,1929,2741,2841
5,1733,1833,3765,3865
6,1421,1521,3429,3529
7,1181,1281,1861,1961
8,893,993,1853,1953
9,685,785,3677,3777
10,309,409,3205,3305
11,285,385,1157,1257
12,285,385,717,817
13,261,361,3757,3857
14,61,161,317,417
15,45,145,2965,3065
16,45,145,661,761
17,29,129,2269,2369
18,9,109,0,93
19,0,65,917,1017
20,2103,2203,3645,3745
21,2033,2133,1593,1693
22,2021,2121,3045,3145
23,1861,1961,3669,3769
24,1817,1917,2737,2837
25,1821,1921,29,129
26,1813,1913,3333,3433
27,1801,1901,3505,3605
28,1693,1793,189,289
29,1557,1657,333,433
30,1477,1577,485,585
31,1445,1545,1469,1569
32,1429,1529,301,401
33,1421,1521,3637,3737
34,1374,1474,1012,1112
35,1357,1457,3749,3849
36,1265,1365,1061,1161
37,1261,1361,213,313
38,1221,1321,809,909
39,1189,1289,1869,1969
40,1165,1265,1045,1145
41,1085,1185,797,897
42,1061,1161,3533,3633
43,1061,1161,2861,2961
44,1053,1153,3725,3825
45,1053,1153,1045,1145
46,989,1089,2485,2585
47,969,1069,1949,2049
48,965,1065,2421,2521
49,941,1041,3725,3825
50,929,1029,1061,1161
51,885,985,1069,1169
52,853,953,813,913
53,817,917,2429,2529
54,733,833,937,1037
55,681,781,961,1061
56,665,765,789,889
57,629,729,1349,1449
58,573,673,301,401
59,541,641,1597,1697
60,509,609,13,113
61,461,561,1525,1625
62,401,501,321,421
63,397,497,141,241
64,365,465,409,509
65,353,453,1845,1945
66,337,437,2477,2577
67,301,401,549,649
68,221,321,3037,3137
69,213,313,101,201
70,173,273,337,437
71,157,257,109,209
72,133,233,197,297
73,89,189,201,301
74,61,161,325,425
75,61,161,85,185
76,45,145,3665,3765
77,9,109,69,169
78,1,101,2957,3057
79,5,105,641,741
80,0,97,597,697
81,0,55,277,377
