,top,bottom,left,right
0,2077,2177,1957,2057
1,2033,2133,13,113
2,1773,1873,3581,3681
3,1753,1853,21,121
4,1717,1817,237,337
5,1413,1513,2989,3089
6,1309,1409,789,889
7,1261,1361,2541,2641
8,1053,1153,3421,3521
9,877,977,0,97
10,805,905,1365,1465
11,753,853,2129,2229
12,709,809,2781,2881
13,2100,2200,774,874
14,2089,2189,1921,2021
15,1765,1865,3613,3713
16,1733,1833,245,345
17,1641,1741,665,765
18,1609,1709,1665,1765
19,1613,1713,733,833
20,1521,1621,505,605
21,1509,1609,1093,1193
22,1425,1525,1913,2013
23,1417,1517,3025,3125
24,1325,1425,1437,1537
25,1317,1417,1869,1969
26,1261,1361,2533,2633
27,1189,1289,1909,2009
28,1157,1257,1461,1561
29,1145,1245,1541,1641
30,1129,1229,857,957
31,1085,1185,3417,3517
32,1085,1185,845,945
33,1045,1145,1541,1641
34,901,1001,1661,1761
35,781,881,2117,2217
36,409,509,1521,1621
37,337,437,3317,3417
38,125,225,3201,3301
39,113,213,3783,3883
40,0,55,3497,3597
41,0,55,3045,3145
