,cut_number,y,x
0,0,1884,2686
1,0,1884,2687
2,0,1884,2688
3,0,1884,2689
4,0,1884,2690
5,0,1884,2691
6,0,1884,2692
7,0,1884,2693
8,0,1884,2694
9,0,1884,2695
10,0,1884,2696
11,0,1884,2697
12,0,1885,2686
13,0,1885,2687
14,0,1885,2688
15,0,1885,2689
16,0,1885,2690
17,0,1885,2691
18,0,1885,2692
19,0,1885,2693
20,0,1885,2694
21,0,1885,2695
22,0,1885,2696
23,0,1885,2697
24,0,1886,2686
25,0,1886,2687
26,0,1886,2688
27,0,1886,2689
28,0,1886,2690
29,0,1886,2691
30,0,1886,2692
31,0,1886,2693
32,0,1886,2694
33,0,1886,2695
34,0,1886,2696
35,0,1886,2697
36,0,1886,2698
37,0,1886,2699
38,0,1887,2686
39,0,1887,2687
40,0,1887,2688
41,0,1887,2689
42,0,1887,2690
43,0,1887,2691
44,0,1887,2692
45,0,1887,2693
46,0,1887,2694
47,0,1887,2695
48,0,1887,2696
49,0,1887,2697
50,0,1887,2698
51,0,1887,2699
52,0,1888,2684
53,0,1888,2685
54,0,1888,2686
55,0,1888,2687
56,0,1888,2688
57,0,1888,2689
58,0,1888,2690
59,0,1888,2691
60,0,1888,2692
61,0,1888,2693
62,0,1888,2694
63,0,1888,2695
64,0,1888,2696
65,0,1888,2697
66,0,1888,2698
67,0,1888,2699
68,0,1889,2684
69,0,1889,2685
70,0,1889,2686
71,0,1889,2687
72,0,1889,2688
73,0,1889,2689
74,0,1889,2690
75,0,1889,2691
76,0,1889,2692
77,0,1889,2693
78,0,1889,2694
79,0,1889,2695
80,0,1889,2696
81,0,1889,2697
82,0,1889,2698
83,0,1889,2699
84,0,1890,2684
85,0,1890,2685
86,0,1890,2686
87,0,1890,2687
88,0,1890,2688
89,0,1890,2689
90,0,1890,2690
91,0,1890,2691
92,0,1890,2692
93,0,1890,2693
94,0,1890,2694
95,0,1890,2695
96,0,1890,2696
97,0,1890,2697
98,0,1890,2698
99,0,1890,2699
100,0,1891,2684
101,0,1891,2685
102,0,1891,2686
103,0,1891,2687
104,0,1891,2688
105,0,1891,2689
106,0,1891,2690
107,0,1891,2691
108,0,1891,2692
109,0,1891,2693
110,0,1891,2694
111,0,1891,2695
112,0,1891,2696
113,0,1891,2697
114,0,1891,2698
115,0,1891,2699
116,0,1892,2684
117,0,1892,2685
118,0,1892,2686
119,0,1892,2687
120,0,1892,2688
121,0,1892,2689
122,0,1892,2690
123,0,1892,2691
124,0,1892,2692
125,0,1892,2693
126,0,1892,2694
127,0,1892,2695
128,0,1892,2696
129,0,1892,2697
130,0,1892,2698
131,0,1892,2699
132,0,1893,2684
133,0,1893,2685
134,0,1893,2686
135,0,1893,2687
136,0,1893,2688
137,0,1893,2689
138,0,1893,2690
139,0,1893,2691
140,0,1893,2692
141,0,1893,2693
142,0,1893,2694
143,0,1893,2695
144,0,1893,2696
145,0,1893,2697
146,0,1893,2698
147,0,1893,2699
148,0,1894,2684
149,0,1894,2685
150,0,1894,2686
151,0,1894,2687
152,0,1894,2688
153,0,1894,2689
154,0,1894,2690
155,0,1894,2691
156,0,1894,2692
157,0,1894,2693
158,0,1894,2694
159,0,1894,2695
160,0,1894,2696
161,0,1894,2697
162,0,1894,2698
163,0,1894,2699
164,0,1895,2684
165,0,1895,2685
166,0,1895,2686
167,0,1895,2687
168,0,1895,2688
169,0,1895,2689
170,0,1895,2690
171,0,1895,2691
172,0,1895,2692
173,0,1895,2693
174,0,1895,2694
175,0,1895,2695
176,0,1895,2696
177,0,1895,2697
178,0,1895,2698
179,0,1895,2699
180,0,1896,2686
181,0,1896,2687
182,0,1896,2688
183,0,1896,2689
184,0,1896,2690
185,0,1896,2691
186,0,1896,2692
187,0,1896,2693
188,0,1896,2694
189,0,1896,2695
190,0,1896,2696
191,0,1896,2697
192,0,1897,2686
193,0,1897,2687
194,0,1897,2688
195,0,1897,2689
196,0,1897,2690
197,0,1897,2691
198,0,1897,2692
199,0,1897,2693
200,0,1897,2694
201,0,1897,2695
202,0,1897,2696
203,0,1897,2697
204,0,1898,2690
205,0,1898,2691
206,0,1898,2692
207,0,1898,2693
208,0,1898,2694
209,0,1898,2695
210,0,1899,2690
211,0,1899,2691
212,0,1899,2692
213,0,1899,2693
214,0,1899,2694
215,0,1899,2695
216,1,1596,3444
217,1,1596,3445
218,1,1596,3446
219,1,1596,3447
220,1,1596,3448
221,1,1596,3449
222,1,1596,3450
223,1,1596,3451
224,1,1596,3452
225,1,1596,3453
226,1,1597,3444
227,1,1597,3445
228,1,1597,3446
229,1,1597,3447
230,1,1597,3448
231,1,1597,3449
232,1,1597,3450
233,1,1597,3451
234,1,1597,3452
235,1,1597,3453
236,1,1598,3442
237,1,1598,3443
238,1,1598,3444
239,1,1598,3445
240,1,1598,3446
241,1,1598,3447
242,1,1598,3448
243,1,1598,3449
244,1,1598,3450
245,1,1598,3451
246,1,1598,3452
247,1,1598,3453
248,1,1598,3454
249,1,1598,3455
250,1,1599,3442
251,1,1599,3443
252,1,1599,3444
253,1,1599,3445
254,1,1599,3446
255,1,1599,3447
256,1,1599,3448
257,1,1599,3449
258,1,1599,3450
259,1,1599,3451
260,1,1599,3452
261,1,1599,3453
262,1,1599,3454
263,1,1599,3455
264,1,1600,3442
265,1,1600,3443
266,1,1600,3444
267,1,1600,3445
268,1,1600,3446
269,1,1600,3447
270,1,1600,3448
271,1,1600,3449
272,1,1600,3450
273,1,1600,3451
274,1,1600,3452
275,1,1600,3453
276,1,1600,3454
277,1,1600,3455
278,1,1601,3442
279,1,1601,3443
280,1,1601,3444
281,1,1601,3445
282,1,1601,3446
283,1,1601,3447
284,1,1601,3448
285,1,1601,3449
286,1,1601,3450
287,1,1601,3451
288,1,1601,3452
289,1,1601,3453
290,1,1601,3454
291,1,1601,3455
292,1,1602,3442
293,1,1602,3443
294,1,1602,3444
295,1,1602,3445
296,1,1602,3446
297,1,1602,3447
298,1,1602,3448
299,1,1602,3449
300,1,1602,3450
301,1,1602,3451
302,1,1602,3452
303,1,1602,3453
304,1,1602,3454
305,1,1602,3455
306,1,1603,3442
307,1,1603,3443
308,1,1603,3444
309,1,1603,3445
310,1,1603,3446
311,1,1603,3447
312,1,1603,3448
313,1,1603,3449
314,1,1603,3450
315,1,1603,3451
316,1,1603,3452
317,1,1603,3453
318,1,1603,3454
319,1,1603,3455
320,1,1604,3442
321,1,1604,3443
322,1,1604,3444
323,1,1604,3445
324,1,1604,3446
325,1,1604,3447
326,1,1604,3448
327,1,1604,3449
328,1,1604,3450
329,1,1604,3451
330,1,1604,3452
331,1,1604,3453
332,1,1604,3454
333,1,1604,3455
334,1,1605,3442
335,1,1605,3443
336,1,1605,3444
337,1,1605,3445
338,1,1605,3446
339,1,1605,3447
340,1,1605,3448
341,1,1605,3449
342,1,1605,3450
343,1,1605,3451
344,1,1605,3452
345,1,1605,3453
346,1,1605,3454
347,1,1605,3455
348,1,1606,3442
349,1,1606,3443
350,1,1606,3444
351,1,1606,3445
352,1,1606,3446
353,1,1606,3447
354,1,1606,3448
355,1,1606,3449
356,1,1606,3450
357,1,1606,3451
358,1,1606,3452
359,1,1606,3453
360,1,1606,3454
361,1,1606,3455
362,1,1607,3442
363,1,1607,3443
364,1,1607,3444
365,1,1607,3445
366,1,1607,3446
367,1,1607,3447
368,1,1607,3448
369,1,1607,3449
370,1,1607,3450
371,1,1607,3451
372,1,1607,3452
373,1,1607,3453
374,1,1607,3454
375,1,1607,3455
376,1,1608,3442
377,1,1608,3443
378,1,1608,3444
379,1,1608,3445
380,1,1608,3446
381,1,1608,3447
382,1,1608,3448
383,1,1608,3449
384,1,1608,3450
385,1,1608,3451
386,1,1608,3452
387,1,1608,3453
388,1,1609,3442
389,1,1609,3443
390,1,1609,3444
391,1,1609,3445
392,1,1609,3446
393,1,1609,3447
394,1,1609,3448
395,1,1609,3449
396,1,1609,3450
397,1,1609,3451
398,1,1609,3452
399,1,1609,3453
400,1,1610,3446
401,1,1610,3447
402,1,1610,3448
403,1,1610,3449
404,1,1610,3450
405,1,1610,3451
406,1,1611,3446
407,1,1611,3447
408,1,1611,3448
409,1,1611,3449
410,1,1611,3450
411,1,1611,3451
412,1,1646,3468
413,1,1646,3469
414,1,1646,3470
415,1,1646,3471
416,1,1647,3468
417,1,1647,3469
418,1,1647,3470
419,1,1647,3471
420,1,1648,3468
421,1,1648,3469
422,1,1648,3470
423,1,1648,3471
424,1,1649,3468
425,1,1649,3469
426,1,1649,3470
427,1,1649,3471
428,1,1650,3468
429,1,1650,3469
430,1,1650,3470
431,1,1650,3471
432,1,1651,3468
433,1,1651,3469
434,1,1651,3470
435,1,1651,3471
436,1,1652,3468
437,1,1652,3469
438,1,1652,3470
439,1,1652,3471
440,1,1653,3468
441,1,1653,3469
442,1,1653,3470
443,1,1653,3471
444,2,1482,3248
445,2,1482,3249
446,2,1482,3250
447,2,1482,3251
448,2,1482,3252
449,2,1482,3253
450,2,1482,3254
451,2,1482,3255
452,2,1483,3248
453,2,1483,3249
454,2,1483,3250
455,2,1483,3251
456,2,1483,3252
457,2,1483,3253
458,2,1483,3254
459,2,1483,3255
460,2,1484,3246
461,2,1484,3247
462,2,1484,3248
463,2,1484,3249
464,2,1484,3250
465,2,1484,3251
466,2,1484,3252
467,2,1484,3253
468,2,1484,3254
469,2,1484,3255
470,2,1484,3256
471,2,1484,3257
472,2,1485,3246
473,2,1485,3247
474,2,1485,3248
475,2,1485,3249
476,2,1485,3250
477,2,1485,3251
478,2,1485,3252
479,2,1485,3253
480,2,1485,3254
481,2,1485,3255
482,2,1485,3256
483,2,1485,3257
484,2,1486,3246
485,2,1486,3247
486,2,1486,3248
487,2,1486,3249
488,2,1486,3250
489,2,1486,3251
490,2,1486,3252
491,2,1486,3253
492,2,1486,3254
493,2,1486,3255
494,2,1486,3256
495,2,1486,3257
496,2,1487,3246
497,2,1487,3247
498,2,1487,3248
499,2,1487,3249
500,2,1487,3250
501,2,1487,3251
502,2,1487,3252
503,2,1487,3253
504,2,1487,3254
505,2,1487,3255
506,2,1487,3256
507,2,1487,3257
508,2,1488,3246
509,2,1488,3247
510,2,1488,3248
511,2,1488,3249
512,2,1488,3250
513,2,1488,3251
514,2,1488,3252
515,2,1488,3253
516,2,1488,3254
517,2,1488,3255
518,2,1488,3256
519,2,1488,3257
520,2,1489,3246
521,2,1489,3247
522,2,1489,3248
523,2,1489,3249
524,2,1489,3250
525,2,1489,3251
526,2,1489,3252
527,2,1489,3253
528,2,1489,3254
529,2,1489,3255
530,2,1489,3256
531,2,1489,3257
532,2,1490,3246
533,2,1490,3247
534,2,1490,3248
535,2,1490,3249
536,2,1490,3250
537,2,1490,3251
538,2,1490,3252
539,2,1490,3253
540,2,1490,3254
541,2,1490,3255
542,2,1490,3256
543,2,1490,3257
544,2,1491,3246
545,2,1491,3247
546,2,1491,3248
547,2,1491,3249
548,2,1491,3250
549,2,1491,3251
550,2,1491,3252
551,2,1491,3253
552,2,1491,3254
